Front,Back
"In the SCAN algorithm, what happens to a request just behind the head?","It waits until the arm moves to the end, reverses, and comes back."
"With a uniform distribution of requests, where is the heaviest density of requests in SCAN, and where are there few requests after reversal?",Few requests are immediately in front of the head after reversal (recently serviced); the heaviest density of requests is at the other end of the disk (where requests have waited longest).
Define Circular SCAN (C-SCAN) scheduling.,"A variant of SCAN where the head moves from one end to the other, servicing requests, but upon reaching the other end, it immediately returns to the beginning of the disk without servicing requests on the return trip."
What is the primary goal or benefit of C-SCAN scheduling compared to SCAN?,To provide more uniform wait time.
How does C-SCAN conceptually treat cylinders?,As a circular list.
Are many disk-scheduling algorithms commonly used?,"No, many exist but are rarely used."
"Is an optimal order definable for any request list, and is its computation always justified?","Yes, an optimal order can be defined, but its computation may not justify the savings over simpler algorithms like SCAN."
What heavily influences the performance of a disk-scheduling algorithm?,The number and types of requests.
How do all disk scheduling algorithms behave if there is only one outstanding request in the queue?,They all behave like FCFS.
Which disk scheduling algorithms are generally better for heavy disk load and less likely to cause starvation?,SCAN and C-SCAN.
Which Linux scheduler was created to prevent starvation?,The deadline scheduler.
What type of queues does the Linux deadline scheduler maintain?,Separate read and write queues.
Why does the Deadline scheduler give reads priority?,Because processes are more likely to block on read operations.
How are the queues in the Deadline scheduler sorted?,"In LBA (Logical Block Addressing) order, which implements a C-SCAN like behavior."
How are I/O requests typically sent in the Deadline scheduler?,"In batches, sorted by LBA order."
"How many queues does the Deadline scheduler specifically keep, and how are they organized?","Four queues: two read queues and two write queues (one of each sorted by LBA, the other by FCFS)."
How does the Deadline scheduler check for and prevent starvation of FCFS requests?,"After each batch, it checks if any FCFS requests are older than a configured age (default 500 ms); if so, the LBA queue (read/write) containing the old request is selected for the next batch."
